Name,Username,Platform,Profile URL,Followers,Engagement Rate (%),Niche,Content Themes,Audience Age,Audience Gender,Audience Geography,Verified,Discovery Method,Status
Aisha Thomas,the.aisha.world,Instagram,https://instagram.com/the.aisha.world,8030,4.69,Fashion,Designer dupes | Capsule wardrobe | Accessory styling,18-24,"60% Female, 40% Male",United States,False,hashtag_search: #style,Discovered
Olivia Lopez,oliviaxlife,Instagram,https://instagram.com/oliviaxlife,34614,2.16,Fashion,Accessory styling | OOTD posts | Seasonal trends,18-24,"50% Female, 50% Male",South Korea,False,hashtag_search: #streetstyle,Discovered
Ethan Sato,ethanxdaily,Instagram,https://instagram.com/ethanxdaily,12843,7.38,Fashion,Capsule wardrobe | Streetwear | Sustainable fashion,18-34,"70% Female, 30% Male",Asia Pacific,False,hashtag_search: #fashion,Discovered
Kai Jackson,the.kai.world,Instagram,https://instagram.com/the.kai.world,95139,2.72,Fashion,Seasonal trends | OOTD posts | Designer dupes,25-44,"55% Male, 45% Female",Germany,False,hashtag_search: #ootd,Discovered
Zara Thompson,zara702,Instagram,https://instagram.com/zara702,37914,4.56,Fashion,Designer dupes | Streetwear | Thrift hauls,25-34,"65% Male, 35% Female",Nigeria,False,hashtag_search: #streetstyle,Discovered
Mei Ahmed,mei.shares,Instagram,https://instagram.com/mei.shares,22057,2.11,Fashion,Capsule wardrobe | Designer dupes | Streetwear,18-24,"55% Male, 45% Female",Brazil,True,hashtag_search: #fashion,Discovered
Leila Thomas,leilaxxlife,Instagram,https://instagram.com/leilaxxlife,42433,4.15,Fashion,Vintage finds | Seasonal trends | Streetwear,25-34,"70% Female, 30% Male",Indonesia,False,hashtag_search: #fashion,Discovered
Sophia Sato,the.sophia.space,Instagram,https://instagram.com/the.sophia.space,10620,6.45,Fashion,Designer dupes | Accessory styling | Streetwear,25-44,"50% Female, 50% Male",Europe,True,hashtag_search: #style,Discovered
Oliver Taylor,oliver_life,Instagram,https://instagram.com/oliver_life,10283,5.7,Fashion,Streetwear | Vintage finds | Capsule wardrobe,25-44,"50% Female, 50% Male",Asia Pacific,False,hashtag_search: #style,Discovered
Sophia Thompson,sophiaxdaily,Instagram,https://instagram.com/sophiaxdaily,30088,3.93,Fashion,Budget fashion | Designer dupes | Streetwear,18-24,"70% Female, 30% Male",United States,False,hashtag_search: #streetstyle,Discovered
Logan Garcia,logan_official,Instagram,https://instagram.com/logan_official,39144,3.37,Fashion,Capsule wardrobe | Vintage finds | Designer dupes,35-44,"60% Female, 40% Male",Nigeria,False,hashtag_search: #ootd,Discovered
Aisha Lee,aisha243,Instagram,https://instagram.com/aisha243,51258,1.84,Fashion,Vintage finds | Streetwear | Thrift hauls,25-34,"60% Female, 40% Male",India,True,hashtag_search: #style,Discovered
Lucia Okafor,lucia.creates,Instagram,https://instagram.com/lucia.creates,40184,2.72,Fashion,Vintage finds | Streetwear | Sustainable fashion,25-44,"55% Male, 45% Female",Brazil,False,hashtag_search: #fashion,Discovered
Elijah Taylor,elijah21,Instagram,https://instagram.com/elijah21,6536,7.0,Fashion,Budget fashion | Vintage finds | Streetwear,18-24,"70% Female, 30% Male",North America,False,hashtag_search: #fashionblogger,Discovered
Charlotte Williams,the.charlotte.corner,Instagram,https://instagram.com/the.charlotte.corner,13965,6.48,Fashion,Accessory styling | Designer dupes | Vintage finds,18-34,"50% Female, 50% Male",France,False,hashtag_search: #fashion,Discovered
Isabella Johnson,isabella.creates,YouTube,https://youtube.com/@isabella.creates,33602,4.89,Fashion,Seasonal trends | Vintage finds | Designer dupes,25-34,"60% Female, 40% Male",Indonesia,False,hashtag_search: #ootd,Discovered
Mason Miller,mason.blogs,YouTube,https://youtube.com/@mason.blogs,10324,4.47,Fashion,Designer dupes | Seasonal trends | Vintage finds,18-24,"55% Male, 45% Female",Asia Pacific,False,hashtag_search: #style,Discovered
Alexander Nguyen,alexander242,YouTube,https://youtube.com/@alexander242,39449,4.12,Fashion,OOTD posts | Thrift hauls | Streetwear,35-44,"70% Female, 30% Male",Europe,False,hashtag_search: #fashion,Discovered
Isabella Thompson,isabella.blogs,YouTube,https://youtube.com/@isabella.blogs,16944,5.47,Fashion,Vintage finds | Sustainable fashion | Designer dupes,18-24,"65% Male, 35% Female",United States,False,hashtag_search: #fashionblogger,Discovered
Yuki Rossi,yuki.creates,YouTube,https://youtube.com/@yuki.creates,99496,1.92,Fashion,Vintage finds | Sustainable fashion | Budget fashion,18-24,"70% Female, 30% Male",France,False,hashtag_search: #ootd,Discovered
Olivia Jackson,olivia_official,YouTube,https://youtube.com/@olivia_official,36333,4.98,Fashion,Sustainable fashion | OOTD posts | Seasonal trends,18-34,"70% Female, 30% Male",France,False,hashtag_search: #fashion,Discovered
Noah Wilson,noahxxofficial,YouTube,https://youtube.com/@noahxxofficial,25241,4.81,Fashion,Vintage finds | Budget fashion | Accessory styling,18-24,"55% Male, 45% Female",India,False,hashtag_search: #fashion,Discovered
Alexander Garcia,alexander45,YouTube,https://youtube.com/@alexander45,7321,4.93,Fashion,Vintage finds | Budget fashion | Seasonal trends,25-44,"50% Female, 50% Male",Nigeria,False,hashtag_search: #streetstyle,Discovered
